Signal Legend:

Key        Signal Name

0        = values_out
1        = sbox_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0        1   2   3 4 

sample

67        -4231842 D3h 67  1 0 
68        -4225023 2Eh 68  1 0 
69        -4158328 ADh 69  1 0 
70        -4108686 3Fh 70  1 0 
71        -4101096 EEh 71  1 0 
72        -4040871 AEh 72  1 0 
73        -4037094 FAh 73  1 0 
74        -3931279 A9h 74  1 0 
75        -3819086 EDh 75  1 0 
76        -3818989 A0h 76  1 0 
77        -3668761 D9h 77  1 0 
78        -3647293 6Bh 78  1 0 
79        -3522032 6Ch 79  1 0 
80        -3461648 97h 80  1 0 
81        -3448315 77h 81  1 0 
82        -3356099 39h 82  1 0 
83        -3327848 53h 83  1 0 
84        -3313363 A3h 84  1 0 
85        -3280115 D4h 85  1 0 
86        -3238863 27h 86  1 0 
87        -3183688 4Ch 87  1 0 
88        -3103063 99h 88  1 0 
89        -3042603 85h 89  1 0 
90        -2889519 E4h 90  1 0 
91        -2838147 3Bh 91  1 0 
92        -2832737 7Dh 92  1 0 
93        -2657847 B6h 93  1 0 
94        -2601747 B0h 94  1 0 
95        -2480133 BFh 95  1 0 
96        -2472170 5Eh 96  1 0 
97        -2456781 52h 97  1 0 
98        -2216152 86h 98  1 0 
99        -2214378 11h 99  1 0 
100       -2198242 49h 100 1 0 
101       -2187478 34h 101 1 0 
102       -2134292 87h 102 1 0 
103       -2127513 93h 103 1 0 
104       -2056450 C3h 104 1 0 
105       -1987764 FCh 105 1 0 
106       -1986922 E9h 106 1 0 
107       -1922597 2Dh 107 1 0 
108       -1920567 B7h 108 1 0 
109       -1861587 B8h 109 1 0 
110       -1565696 00h 110 1 0 
111       -1545141 36h 111 1 0 
112       -1522719 74h 112 1 0 
113       -1491218 45h 113 1 0 
114       -1486554 08h 114 1 0 
115       -1441921 6Dh 115 1 0 
116       -1417808 31h 116 1 0 
117       -1399498 8Fh 117 1 0 
118       -1330075 DBh 118 1 0 
119       -1144395 7Eh 119 1 0 
120       -1122912 60h 120 1 0 
121       -1030519 47h 121 1 0 
122       -992966  55h 122 1 0 
123       -970223  02h 123 1 0 
124       -944135  C8h 124 1 0 
125       -922124  B9h 125 1 0 
126       -896156  6Eh 126 1 0 
127       -889696  4Bh 127 1 0 
128       -754348  32h 128 1 0 
129       -649423  AAh 129 1 0 
130       -576183  FFh 130 1 0 
131       -563707  A4h 131 1 0 
132       -508049  2Bh 132 1 0 
133       -401027  A6h 133 1 0 
134       -353174  AFh 134 1 0 
135       -345829  C1h 135 1 0 
136       -309462  5Fh 136 1 0 
137       -270096  DCh 137 1 0 
138       -192627  F5h 138 1 0 
139       -139124  67h 139 1 0 
140       -131874  1Ch 140 1 0 
141       -28456   9Dh 141 1 0 
142       -772     6Ah 142 1 0 
143       37032    C7h 143 1 0 
144       240681   F7h 144 1 0 
145       263827   70h 145 1 0 
146       411591   9Bh 146 1 0 
147       507829   80h 147 1 0 
148       551418   FDh 148 1 0 
149       658007   3Ch 149 1 0 
150       700748   18h 150 1 0 
151       802274   01h 151 1 0 
152       821613   76h 152 1 0 
153       883747   DDh 153 1 0 
154       896095   05h 154 1 0 
155       947077   96h 155 1 0 
156       950494   D2h 156 1 0 
157       1004921  1Fh 157 1 0 
158       1043870  48h 158 1 0 
159       1139874  E2h 159 1 0 
160       1158150  A5h 160 1 0 
161       1209867  EBh 161 1 0 
162       1305698  CFh 162 1 0 
163       1311420  92h 163 1 0 
164       1414558  13h 164 1 0 
165       1424332  B1h 165 1 0 
166       1458886  7Ah 166 1 0 
167       1477911  56h 167 1 0 
168       1519064  D8h 168 1 0 
169       1529924  B4h 169 1 0 
170       1545357  03h 170 1 0 
171       1558617  4Ah 171 1 0 
172       1798430  1Ah 172 1 0 
173       1783833  06h 173 1 0 
174       1810968  7Ch 174 1 0 
175       1860234  50h 175 1 0 
176       1989329  8Ah 176 1 0 
177       2008931  FBh 177 1 0 
178       2011855  EAh 178 1 0 
179       2054039  A1h 179 1 0 
180       2182546  F2h 180 1 0 
181       2316941  D6h 181 1 0 
182       2328815  E6h 182 1 0 
183       2354199  95h 183 1 0 
184       2358401  F1h 184 1 0 
185       2473965  22h 185 1 0 
186       2485656  2Ah 186 1 0 
187       2561340  1Eh 187 1 0 
188       2573563  D0h 188 1 0 
189       2617499  8Bh 189 1 0 
190       2671668  E8h 190 1 0 
191       2794814  5Ch 191 1 0 
192       2884288  64h 192 1 0 
193       2899799  E0h 193 1 0 
194       2953925  66h 194 1 0 
195       3030248  F8h 195 1 0 
196       3041789  57h 196 1 0 
197       3130261  04h 197 1 0 
198       3139400  21h 198 1 0 
199       3187870  CDh 199 1 0 
200       3195882  F3h 200 1 0 
201       3415449  5Ah 201 1 0 
202       3489961  33h 202 1 0 
203       3544275  D5h 203 1 0 
204       3777617  41h 204 1 0 
205       3747016  0Dh 205 1 0 
206       3751788  26h 206 1 0 
207       3690639  20h 207 1 0 
208       3727263  28h 208 1 0 
209       3740481  4Fh 209 1 0 
210       3830059  0Ah 210 1 0 
211       4024172  CEh 211 1 0 
212       4228211  3Ah 212 1 0 
213       4241745  88h 213 1 0 
214       4290627  C9h 214 1 0 
215       4324821  2Fh 215 1 0 
216       4448362  CCh 216 1 0 
217       4465743  94h 217 1 0 
218       4723128  BDh 218 1 0 
219       4725063  E1h 219 1 0 
220       4898304  82h 220 1 0 
221       4944884  9Ah 221 1 0 
222       5235374  DFh 222 1 0 
223       5326291  58h 223 1 0 
224       5360831  C5h 224 1 0 
225       5501003  CAh 225 1 0 
226       5567995  7Bh 226 1 0 
227       5791857  89h 227 1 0 
228       5887750  0Ch 228 1 0 
229       5983386  09h 229 1 0 
230       6082899  9Eh 230 1 0 
231       6132973  35h 231 1 0 
232       6154530  D7h 232 1 0 
233       6290084  79h 233 1 0 
234       6310481  30h 234 1 0 
235       6329010  BCh 235 1 0 
236       6329157  73h 236 1 0 
237       6516059  E7h 237 1 0 
238       6675436  14h 238 1 0 
239       6803580  51h 239 1 0 
240       6916851  42h 240 1 0 
241       6951960  75h 241 1 0 
242       6976209  68h 242 1 0 
243       7200005  40h 243 1 0 
244       7214770  DEh 244 1 0 
245       7224094  7Fh 245 1 0 
246       7238592  24h 246 1 0 
247       7370735  C6h 247 1 0 
248       7434108  F6h 248 1 0 
249       7452508  29h 249 1 0 
250       7457785  6Fh 250 1 0 
251       7520550  69h 251 1 0 
252       7670831  ECh 252 1 0 
253       7674869  2Ch 253 1 0 
254       8140431  BEh 254 1 0 
255       8141657  CBh 255 1 0 
256       8168316  12h 0   0 0 
257       8168316  12h 0   0 1 
258       8168316  12h 0   0 1 
259       8168316  12h 0   0 1 
260       8168316  12h 0   0 1 
261       8168316  12h 0   0 1 
262       8168316  12h 0   0 1 
263       8168316  12h 0   0 1 
264       8168316  12h 0   0 1 
265       8168316  12h 0   0 1 
266       8168316  12h 0   0 1 
267       8168316  12h 0   0 1 
268       8168316  12h 0   0 1 
269       8168316  12h 0   0 1 
270       8168316  12h 0   0 1 
271       8168316  12h 0   0 1 
272       8168316  12h 0   0 1 
273       8168316  12h 0   0 1 
274       8168316  12h 0   0 1 
275       8168316  12h 0   0 1 
276       8168316  12h 0   0 1 
277       8168316  12h 0   0 1 
278       8168316  12h 0   0 1 
279       8168316  12h 0   0 1 
280       8168316  12h 0   0 1 
281       8168316  12h 0   0 1 
282       8168316  12h 0   0 1 
283       8168316  12h 0   0 1 
284       8168316  12h 0   0 1 
285       8168316  12h 0   0 1 
286       8168316  12h 0   0 1 
287       8168316  12h 0   0 1 
288       8168316  12h 0   0 1 
289       8168316  12h 0   0 1 
290       8168316  12h 0   0 1 
291       8168316  12h 0   0 1 
292       8168316  12h 0   0 1 
293       8168316  12h 0   0 1 
294       8168316  12h 0   0 1 
295       8168316  12h 0   0 1 
296       8168316  12h 0   0 1 
297       8168316  12h 0   0 1 
298       8168316  12h 0   0 1 
299       8168316  12h 0   0 1 
300       8168316  12h 0   0 1 
301       8168316  12h 0   0 1 
302       8168316  12h 0   0 1 
303       8168316  12h 0   0 1 
304       8168316  12h 0   0 1 
305       8168316  12h 0   0 1 
306       8168316  12h 0   0 1 
307       8168316  12h 0   0 1 
308       8168316  12h 0   0 1 
309       8168316  12h 0   0 1 
310       8168316  12h 0   0 1 
311       8168316  12h 0   0 1 
312       8168316  12h 0   0 1 
313       8168316  12h 0   0 1 
314       8168316  12h 0   0 1 
315       8168316  12h 0   0 1 
316       8168316  12h 0   0 1 
317       8168316  12h 0   0 1 
318       8168316  12h 0   0 1 
319       8168316  12h 0   0 1 
320       8168316  12h 0   0 1 
321       8168316  12h 0   0 1 
322       8168316  12h 0   0 1 
323       8168316  12h 0   0 1 
324       8168316  12h 0   0 1 
325       8168316  12h 0   0 1 
326       8168316  12h 0   0 1 
327       8168316  12h 0   0 1 
328       8168316  12h 0   0 1 
329       8168316  12h 0   0 1 
330       8168316  12h 0   0 1 
331       8168316  12h 0   0 1 
332       8168316  12h 0   0 1 
333       8168316  12h 0   0 1 
334       8168316  12h 0   0 1 
335       8168316  12h 0   0 1 
336       8168316  12h 0   0 1 
337       8168316  12h 0   0 1 
338       8168316  12h 0   0 1 
339       8168316  12h 0   0 1 
