Signal Legend:

Key        Signal Name

0        = values_out
1        = sbox_out
2        = test_out
3        = counter_out
4        = done_out

Data Table:

Signals-> 0        1   2 3   4 

sample

-128      8168444  18  0 0   0 
-127      8168444  18  0 0   0 
-126      8168444  18  0 0   0 
-125      8168444  18  0 0   0 
-124      8168444  18  0 0   0 
-123      8168444  18  0 0   0 
-122      8168444  18  0 0   0 
-121      8168444  18  0 0   0 
-120      8168444  18  0 0   0 
-119      8168444  18  0 0   0 
-118      8168444  18  0 0   0 
-117      8168444  18  0 0   0 
-116      8168444  18  0 0   0 
-115      8168444  18  0 0   0 
-114      8168444  18  0 0   0 
-113      8168444  18  0 0   0 
-112      8168444  18  0 0   0 
-111      8168444  18  0 0   0 
-110      8168444  18  0 0   0 
-109      8168444  18  0 0   0 
-108      8168444  18  0 0   0 
-107      8168444  18  0 0   0 
-106      8168444  18  0 0   0 
-105      8168444  18  0 0   0 
-104      8168444  18  0 0   0 
-103      8168444  18  0 0   0 
-102      8168444  18  0 0   0 
-101      8168444  18  0 0   0 
-100      8168444  18  0 0   0 
-99       8168444  18  0 0   0 
-98       8168444  18  0 0   0 
-97       8168444  18  0 0   0 
-96       8168444  18  0 0   0 
-95       8168444  18  0 0   0 
-94       8168444  18  0 0   0 
-93       8168444  18  0 0   0 
-92       8168444  18  0 0   0 
-91       8168444  18  0 0   0 
-90       8168444  18  0 0   0 
-89       8168444  18  0 0   0 
-88       8168444  18  0 0   0 
-87       8168444  18  0 0   0 
-86       8168444  18  0 0   0 
-85       8168444  18  0 0   0 
-84       8168444  18  0 0   0 
-83       8168444  18  0 0   0 
-82       8168444  18  0 0   0 
-81       8168444  18  0 0   0 
-80       8168444  18  0 0   0 
-79       8168444  18  0 0   0 
-78       8168444  18  0 0   0 
-77       8168444  18  0 0   0 
-76       8168444  18  0 0   0 
-75       8168444  18  0 0   0 
-74       8168444  18  0 0   0 
-73       8168444  18  0 0   0 
-72       8168444  18  0 0   0 
-71       8168444  18  0 0   0 
-70       8168444  18  0 0   0 
-69       8168444  18  0 0   0 
-68       8168444  18  0 0   0 
-67       8168444  18  0 0   0 
-66       8168444  18  0 0   0 
-65       8168444  18  0 0   0 
-64       8168444  18  0 0   0 
-63       8168444  18  0 0   0 
-62       8168444  18  0 0   0 
-61       8168444  18  0 0   0 
-60       8168444  18  0 0   0 
-59       8168444  18  0 0   0 
-58       8168444  18  0 0   0 
-57       8168444  18  0 0   0 
-56       8168444  18  0 0   0 
-55       8168444  18  0 0   0 
-54       8168444  18  0 0   0 
-53       8168444  18  0 0   0 
-52       8168444  18  0 0   0 
-51       8168444  18  0 0   0 
-50       8168444  18  0 0   0 
-49       8168444  18  0 0   0 
-48       8168444  18  0 0   0 
-47       8168444  18  0 0   0 
-46       8168444  18  0 0   0 
-45       8168444  18  0 0   0 
-44       8168444  18  0 0   0 
-43       8168444  18  0 0   0 
-42       8168444  18  0 0   0 
-41       8168444  18  0 0   0 
-40       8168444  18  0 0   0 
-39       8168444  18  0 0   0 
-38       8168444  18  0 0   0 
-37       8168444  18  0 0   0 
-36       8168444  18  0 0   0 
-35       8168444  18  0 0   0 
-34       8168444  18  0 0   0 
-33       8168444  18  0 0   0 
-32       8168444  18  0 0   0 
-31       8168444  18  0 0   0 
-30       8168444  18  0 0   0 
-29       8168444  18  0 0   0 
-28       8168444  18  0 0   0 
-27       8168444  18  0 0   0 
-26       8168444  18  0 0   0 
-25       8168444  18  0 0   0 
-24       8168444  18  0 0   0 
-23       8168444  18  0 0   0 
-22       8168444  18  0 0   0 
-21       8168444  18  0 0   0 
-20       8168444  18  0 0   0 
-19       8168444  18  0 0   0 
-18       8168444  18  0 0   0 
-17       8168444  18  0 0   0 
-16       8168444  18  0 0   0 
-15       8168444  18  0 0   0 
-14       8168444  18  0 0   0 
-13       8168444  18  0 0   0 
-12       8168444  18  0 0   0 
-11       8168444  18  0 0   0 
-10       8168444  18  0 0   0 
-9        8168444  18  0 0   0 
-8        8168444  18  0 0   0 
-7        8168444  18  0 0   0 
-6        8168444  18  0 0   0 
-5        8168444  18  0 0   0 
-4        8168444  18  0 0   0 
-3        8168444  18  0 0   0 
-2        8168444  18  0 0   0 
-1        8168444  18  0 0   0 
0         -8224873 194 1 1   0 
1         -8222540 216 1 2   0 
2         -8105257 163 1 3   0 
3         -8091849 142 1 4   0 
4         -8010835 19  1 5   0 
5         -7991699 71  1 6   0 
6         -7869769 176 1 7   0 
7         -7752872 249 1 8   0 
8         -7692961 43  1 9   0 
9         -7543185 37  1 10  0 
10        -7506504 16  1 11  0 
11        -7460561 15  1 12  0 
12        -7275182 230 1 13  0 
13        -7255692 129 1 14  0 
14        -7239783 211 1 15  0 
15        -7179143 93  1 16  0 
16        -7136783 162 1 17  0 
17        -7131757 124 1 18  0 
18        -7100750 31  1 19  0 
19        -7084692 6   1 20  0 
20        -7081344 166 1 21  0 
21        -7072618 158 1 22  0 
22        -6929643 204 1 23  0 
23        -6907107 234 1 24  0 
24        -6885828 161 1 25  0 
25        -6872935 56  1 26  0 
26        -6807818 224 1 27  0 
27        -6784188 61  1 28  0 
28        -6696664 34  1 29  0 
29        -6564711 173 1 30  0 
30        -6531904 222 1 31  0 
31        -6375019 47  1 32  0 
32        -6331527 53  1 33  0 
33        -6282192 17  1 34  0 
34        -6074258 181 1 35  0 
35        -6035091 190 1 36  0 
36        -5894000 153 1 37  0 
37        -5776163 196 1 38  0 
38        -5765514 115 1 39  0 
39        -5466858 54  1 40  0 
40        -5455318 7   1 41  0 
41        -5416704 135 1 42  0 
42        -5411027 27  1 43  0 
43        -5347231 114 1 44  0 
44        -5257715 42  1 45  0 
45        -5023859 20  1 46  0 
46        -4969418 46  1 47  0 
47        -4895746 62  1 48  0 
48        -4879626 172 1 49  0 
49        -4873749 170 1 50  0 
50        -4858240 102 1 51  0 
51        -4850210 119 1 52  0 
52        -4750323 67  1 53  0 
53        -4546356 147 1 54  0 
54        -4534209 84  1 55  0 
55        -4520458 69  1 56  0 
56        -4244808 104 1 57  0 
57        -4231842 86  1 58  0 
58        -4158328 48  1 59  0 
59        -4101096 113 1 60  0 
60        -4040871 49  1 61  0 
61        -4037094 125 1 62  0 
62        -3931279 44  1 63  0 
63        -3819086 112 1 64  0 
64        -3818989 35  1 65  0 
65        -3668761 92  1 66  0 
66        -3461648 26  1 67  0 
67        -3318810 144 1 68  0 
68        -3313363 38  1 69  0 
69        -3280115 87  1 70  0 
70        -3103063 28  1 71  0 
71        -3043492 156 1 72  0 
72        -3042603 8   1 73  0 
73        -2889519 103 1 74  0 
74        -2657847 57  1 75  0 
75        -2601747 51  1 76  0 
76        -2480133 66  1 77  0 
77        -2216152 9   1 78  0 
78        -2134292 10  1 79  0 
79        -2127513 22  1 80  0 
80        -2107149 136 1 81  0 
81        -2056450 70  1 82  0 
82        -1987764 127 1 83  0 
83        -1986922 108 1 84  0 
84        -1920567 58  1 85  0 
85        -1879458 174 1 86  0 
86        -1861587 59  1 87  0 
87        -1565696 0   1 88  0 
88        -1399498 18  1 89  0 
89        -1330075 94  1 90  0 
90        -970223  2   1 91  0 
91        -944135  75  1 92  0 
92        -922124  60  1 93  0 
93        -649423  45  1 94  0 
94        -576183  130 1 95  0 
95        -563707  39  1 96  0 
96        -401027  41  1 97  0 
97        -371250  151 1 98  0 
98        -368835  159 1 99  0 
99        -353174  50  1 100 0 
100       -345829  68  1 101 0 
101       -296185  169 1 102 0 
102       -270096  95  1 103 0 
103       -192627  120 1 104 0 
104       -5524767 32  1 105 0 
105       -5508111 218 1 106 0 
106       -5347135 207 1 107 0 
107       -5209531 184 1 108 0 
108       -4880555 239 1 109 0 
109       -4720065 185 1 110 0 
110       -4177889 182 1 111 0 
111       -4156764 231 1 112 0 
112       -4022970 254 1 113 0 
113       -3998677 210 1 114 0 
114       -3976191 235 1 115 0 
115       -3913334 189 1 116 0 
116       -3544222 178 1 117 0 
117       -3291170 179 1 118 0 
118       -2792963 221 1 119 0 
119       -2790763 226 1 120 0 
120       -2621761 197 1 121 0 
121       -2556222 200 1 122 0 
122       -2414541 236 1 123 0 
123       -2340914 214 1 124 0 
124       -2319392 251 1 125 0 
125       -2216185 202 1 126 0 
126       -2133311 252 1 127 0 
127       -2104699 201 1 128 0 
128       -237854  177 1 129 0 
129       76389    157 1 130 0 
130       240681   122 1 131 0 
131       315520   74  1 132 0 
132       411591   30  1 133 0 
133       449446   250 1 134 0 
134       474580   232 1 135 0 
135       551418   128 1 136 0 
136       637435   149 1 137 0 
137       710035   238 1 138 0 
138       801434   148 1 139 0 
139       802274   1   1 140 0 
140       883747   96  1 141 0 
141       947077   25  1 142 0 
142       950494   85  1 143 0 
143       1139874  101 1 144 0 
144       1158150  40  1 145 0 
145       1209867  110 1 146 0 
146       1305698  82  1 147 0 
147       1311420  21  1 148 0 
148       1416179  228 1 149 0 
149       1424332  52  1 150 0 
150       1519064  91  1 151 0 
151       1529924  55  1 152 0 
152       1545357  3   1 153 0 
153       1687838  165 1 154 0 
154       1761368  205 1 155 0 
155       1781591  146 1 156 0 
156       1829015  198 1 157 0 
157       1989329  13  1 158 0 
158       1995287  208 1 159 0 
159       2008931  126 1 160 0 
160       2011855  109 1 161 0 
161       2054039  36  1 162 0 
162       2108637  131 1 163 0 
163       2182546  117 1 164 0 
164       2184469  137 1 165 0 
165       2316941  89  1 166 0 
166       2328815  105 1 167 0 
167       2329358  187 1 168 0 
