Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0   1        2   3 4 
167       177 1424332  168 1 0 
168       216 1519064  169 1 0 
169       180 1529924  170 1 0 
170       138 1989329  171 1 0 
171       251 2008931  172 1 0 
172       234 2011855  173 1 0 
173       161 2054039  174 1 0 
174       242 2182546  175 1 0 
175       214 2316941  176 1 0 
176       230 2328815  177 1 0 
177       149 2354199  178 1 0 
178       241 2358401  179 1 0 
179       30  2605037  180 1 0 
180       30  2616728  181 1 0 
181       30  2561340  182 1 0 
182       208 2573563  183 1 0 
183       139 2617499  184 1 0 
184       232 2671668  185 1 0 
185       92  2794814  186 1 0 
186       100 2884288  187 1 0 
187       224 2899799  188 1 0 
188       102 2953925  189 1 0 
189       248 3030248  190 1 0 
190       87  3041789  191 1 0 
191       33  3139400  192 1 0 
192       205 3187870  193 1 0 
193       243 3195882  194 1 0 
194       13  3751394  195 1 0 
195       13  3225050  196 1 0 
196       13  3225050  197 1 0 
197       90  3415449  198 1 0 
198       51  3489961  199 1 0 
199       213 3544275  200 1 0 
200       65  3712081  201 1 0 
201       79  3740481  202 1 0 
202       13  3746121  203 1 0 
203       13  3746137  204 1 0 
204       13  3749977  205 1 0 
205       13  3747016  206 1 0 
206       38  3751788  207 1 0 
207       32  3756175  208 1 0 
208       40  3792799  209 1 0 
209       206 4024172  210 1 0 
210       58  4228211  211 1 0 
211       136 4241745  212 1 0 
212       47  4259285  213 1 0 
213       201 4290627  214 1 0 
214       204 4448362  215 1 0 
215       148 4465743  216 1 0 
216       189 4723128  217 1 0 
217       225 4725063  218 1 0 
218       130 4898304  219 1 0 
219       154 4944884  220 1 0 
220       223 5235374  221 1 0 
221       88  5326291  222 1 0 
222       197 5360831  223 1 0 
223       202 5501003  224 1 0 
224       123 5567995  225 1 0 
225       137 5791857  226 1 0 
226       12  5889958  227 1 0 
227       12  5889926  228 1 0 
228       12  5889926  229 1 0 
229       158 6082899  230 1 0 
230       53  6132973  231 1 0 
231       215 6154530  232 1 0 
232       121 6290084  233 1 0 
233       48  6310481  234 1 0 
234       188 6329010  235 1 0 
235       115 6329157  236 1 0 
236       231 6516059  237 1 0 
237       20  6675436  238 1 0 
238       81  6803580  239 1 0 
239       66  6916851  240 1 0 
240       117 6951960  241 1 0 
241       104 6976209  242 1 0 
242       64  7200005  243 1 0 
243       222 7214770  244 1 0 
244       127 7224094  245 1 0 
245       36  7238592  246 1 0 
246       198 7370735  247 1 0 
247       41  7386972  248 1 0 
248       246 7434108  249 1 0 
249       111 7457785  250 1 0 
250       105 7520550  251 1 0 
251       236 7670831  252 1 0 
252       44  7674869  253 1 0 
253       190 8140431  254 1 0 
254       203 8141657  255 1 0 
255       137 8168316  0   1 0 
256       137 8168316  0   1 1 
257       137 8168316  0   1 1 
258       137 8168316  0   1 1 
259       137 8168316  0   1 1 
260       137 8168316  0   1 1 
261       137 8168316  0   1 1 
262       137 8168316  0   1 1 
263       137 8168316  0   1 1 
264       137 8168316  0   1 1 
265       137 8168316  0   1 1 
266       137 8168316  0   1 1 
267       137 8168316  0   1 1 
268       137 8168316  0   1 1 
269       137 8168316  0   1 1 
270       137 8168316  0   1 1 
271       137 8168316  0   1 1 
272       137 8168316  0   1 1 
273       137 8168316  0   1 1 
274       137 8168316  0   1 1 
275       137 8168316  0   1 1 
276       137 8168316  0   1 1 
277       137 8168316  0   1 1 
278       137 8168316  0   1 1 
279       137 8168316  0   1 1 
280       137 8168316  0   1 1 
281       137 8168316  0   1 1 
282       137 8168316  0   1 1 
283       137 8168316  0   1 1 
284       137 8168316  0   1 1 
285       137 8168316  0   1 1 
286       137 8168316  0   1 1 
287       137 8168316  0   1 1 
288       137 8168316  0   1 1 
289       137 8168316  0   1 1 
290       137 8168316  0   1 1 
291       137 8168316  0   1 1 
292       137 8168316  0   1 1 
293       137 8168316  0   1 1 
294       137 8168316  0   1 1 
295       137 8168316  0   1 1 
296       137 8168316  0   1 1 
297       137 8168316  0   1 1 
298       137 8168316  0   1 1 
299       137 8168316  0   1 1 
300       137 8168316  0   1 1 
301       137 8168316  0   1 1 
302       137 8168316  0   1 1 
303       137 8168316  0   1 1 
304       137 8168316  0   1 1 
305       137 8168316  0   1 1 
306       137 8168316  0   1 1 
307       137 8168316  0   1 1 
308       137 8168316  0   1 1 
309       137 8168316  0   1 1 
310       137 8168316  0   1 1 
311       137 8168316  0   1 1 
312       137 8168316  0   1 1 
313       137 8168316  0   1 1 
314       137 8168316  0   1 1 
315       137 8168316  0   1 1 
316       137 8168316  0   1 1 
317       137 8168316  0   1 1 
318       137 8168316  0   1 1 
319       137 8168316  0   1 1 
320       137 8168316  0   1 1 
321       137 8168316  0   1 1 
322       137 8168316  0   1 1 
323       137 8168316  0   1 1 
324       137 8168316  0   1 1 
325       137 8168316  0   1 1 
326       137 8168316  0   1 1 
327       137 8168316  0   1 1 
328       137 8168316  0   1 1 
329       137 8168316  0   1 1 
330       137 8168316  0   1 1 
331       137 8168316  0   1 1 
332       137 8168316  0   1 1 
333       137 8168316  0   1 1 
334       137 8168316  0   1 1 
335       137 8168316  0   1 1 
336       137 8168316  0   1 1 
337       137 8168316  0   1 1 
338       137 8168316  0   1 1 
339       137 8168316  0   1 1 
340       137 8168316  0   1 1 
341       137 8168316  0   1 1 
342       137 8168316  0   1 1 
343       137 8168316  0   1 1 
344       137 8168316  0   1 1 
345       137 8168316  0   1 1 
346       137 8168316  0   1 1 
347       137 8168316  0   1 1 
348       137 8168316  0   1 1 
349       137 8168316  0   1 1 
350       137 8168316  0   1 1 
351       137 8168316  0   1 1 
352       137 8168316  0   1 1 
353       137 8168316  0   1 1 
354       137 8168316  0   1 1 
355       137 8168316  0   1 1 
356       137 8168316  0   1 1 
357       137 8168316  0   1 1 
358       137 8168316  0   1 1 
359       137 8168316  0   1 1 
360       137 8168316  0   1 1 
361       137 8168316  0   1 1 
362       137 8168316  0   1 1 
363       137 8168316  0   1 1 
364       137 8168316  0   1 1 
365       137 8168316  0   1 1 
366       137 8168316  0   1 1 
367       137 8168316  0   1 1 
368       137 8168316  0   1 1 
369       137 8168316  0   1 1 
370       137 8168316  0   1 1 
371       137 8168316  0   1 1 
372       137 8168316  0   1 1 
373       137 8168316  0   1 1 
374       137 8168316  0   1 1 
375       137 8168316  0   1 1 
376       137 8168316  0   1 1 
377       137 8168316  0   1 1 
378       137 8168316  0   1 1 
379       137 8168316  0   1 1 
380       137 8168316  0   1 1 
381       137 8168316  0   1 1 
382       137 8168316  0   1 1 
383       137 8168316  0   1 1 
384       137 8168316  0   1 1 
385       137 8168316  0   1 1 
386       137 8168316  0   1 1 
387       137 8168316  0   1 1 
388       137 8168316  0   1 1 
389       137 8168316  0   1 1 
390       137 8168316  0   1 1 
391       137 8168316  0   1 1 
392       137 8168316  0   1 1 
393       137 8168316  0   1 1 
394       137 8168316  0   1 1 
395       137 8168316  0   1 1 
396       137 8168316  0   1 1 
397       137 8168316  0   1 1 
398       137 8168316  0   1 1 
399       137 8168316  0   1 1 
400       137 8168316  0   1 1 
401       137 8168316  0   1 1 
402       137 8168316  0   1 1 
403       137 8168316  0   1 1 
404       137 8168316  0   1 1 
405       137 8168316  0   1 1 
406       137 8168316  0   1 1 
407       137 8168316  0   1 1 
408       137 8168316  0   1 1 
409       137 8168316  0   1 1 
410       137 8168316  0   1 1 
411       137 8168316  0   1 1 
412       137 8168316  0   1 1 
413       137 8168316  0   1 1 
414       137 8168316  0   1 1 
415       137 8168316  0   1 1 
416       137 8168316  0   1 1 
417       137 8168316  0   1 1 
418       137 8168316  0   1 1 
419       137 8168316  0   1 1 
420       137 8168316  0   1 1 
421       137 8168316  0   1 1 
422       137 8168316  0   1 1 
423       137 8168316  0   1 1 
424       137 8168316  0   1 1 
425       137 8168316  0   1 1 
426       137 8168316  0   1 1 
427       137 8168316  0   1 1 
428       137 8168316  0   1 1 
429       137 8168316  0   1 1 
430       137 8168316  0   1 1 
431       137 8168316  0   1 1 
432       137 8168316  0   1 1 
433       137 8168316  0   1 1 
434       137 8168316  0   1 1 
435       137 8168316  0   1 1 
436       137 8168316  0   1 1 
437       137 8168316  0   1 1 
438       137 8168316  0   1 1 
439       137 8168316  0   1 1 
440       137 8168316  0   1 1 
441       137 8168316  0   1 1 
442       137 8168316  0   1 1 
443       137 8168316  0   1 1 
444       137 8168316  0   1 1 
445       137 8168316  0   1 1 
446       137 8168316  0   1 1 
447       137 8168316  0   1 1 
448       137 8168316  0   1 1 
449       137 8168316  0   1 1 
450       137 8168316  0   1 1 
451       137 8168316  0   1 1 
452       137 8168316  0   1 1 
453       137 8168316  0   1 1 
454       137 8168316  0   1 1 
455       137 8168316  0   1 1 
456       137 8168316  0   1 1 
457       137 8168316  0   1 1 
458       137 8168316  0   1 1 
459       137 8168316  0   1 1 
460       137 8168316  0   1 1 
461       137 8168316  0   1 1 
462       137 8168316  0   1 1 
463       137 8168316  0   1 1 
464       137 8168316  0   1 1 
465       137 8168316  0   1 1 
466       137 8168316  0   1 1 
467       137 8168316  0   1 1 
468       137 8168316  0   1 1 
469       137 8168316  0   1 1 
470       137 8168316  0   1 1 
471       137 8168316  0   1 1 
472       137 8168316  0   1 1 
473       137 8168316  0   1 1 
474       137 8168316  0   1 1 
475       137 8168316  0   1 1 
476       137 8168316  0   1 1 
477       137 8168316  0   1 1 
478       137 8168316  0   1 1 
479       137 8168316  0   1 1 
480       137 8168316  0   1 1 
481       137 8168316  0   1 1 
482       137 8168316  0   1 1 
483       137 8168316  0   1 1 
484       137 8168316  0   1 1 
485       137 8168316  0   1 1 
486       137 8168316  0   1 1 
487       137 8168316  0   1 1 
488       137 8168316  0   1 1 
489       137 8168316  0   1 1 
490       137 8168316  0   1 1 
491       137 8168316  0   1 1 
492       137 8168316  0   1 1 
493       137 8168316  0   1 1 
494       137 8168316  0   1 1 
495       137 8168316  0   1 1 
496       137 8168316  0   1 1 
497       137 8168316  0   1 1 
498       137 8168316  0   1 1 
499       137 8168316  0   1 1 
500       137 8168316  0   1 1 
501       137 8168316  0   1 1 
502       137 8168316  0   1 1 
503       137 8168316  0   1 1 
504       137 8168316  0   1 1 
505       137 8168316  0   1 1 
506       137 8168316  0   1 1 
507       137 8168316  0   1 1 
508       137 8168316  0   1 1 
509       137 8168316  0   1 1 
510       137 8168316  0   1 1 
511       137 8168316  0   1 1 
512       137 8168316  0   1 1 
513       137 8168316  0   1 1 
514       137 8168316  0   1 1 
515       137 8168316  0   1 1 
516       137 8168316  0   1 1 
517       137 8168316  0   1 1 
518       137 8168316  0   1 1 
519       137 8168316  0   1 1 
520       137 8168316  0   1 1 
521       137 8168316  0   1 1 
522       137 8168316  0   1 1 
523       137 8168316  0   1 1 
524       137 8168316  0   1 1 
525       137 8168316  0   1 1 
526       137 8168316  0   1 1 
527       137 8168316  0   1 1 
528       137 8168316  0   1 1 
529       137 8168316  0   1 1 
530       137 8168316  0   1 1 
531       137 8168316  0   1 1 
532       137 8168316  0   1 1 
533       137 8168316  0   1 1 
534       137 8168316  0   1 1 
535       137 8168316  0   1 1 
536       137 8168316  0   1 1 
537       137 8168316  0   1 1 
538       137 8168316  0   1 1 
539       137 8168316  0   1 1 
540       137 8168316  0   1 1 
541       137 8168316  0   1 1 
542       137 8168316  0   1 1 
543       137 8168316  0   1 1 
544       137 8168316  0   1 1 
545       137 8168316  0   1 1 
546       137 8168316  0   1 1 
547       137 8168316  0   1 1 
548       137 8168316  0   1 1 
549       137 8168316  0   1 1 
550       137 8168316  0   1 1 
551       137 8168316  0   1 1 
552       137 8168316  0   1 1 
553       137 8168316  0   1 1 
554       137 8168316  0   1 1 
555       137 8168316  0   1 1 
556       137 8168316  0   1 1 
557       137 8168316  0   1 1 
558       137 8168316  0   1 1 
559       137 8168316  0   1 1 
560       137 8168316  0   1 1 
561       137 8168316  0   1 1 
562       137 8168316  0   1 1 
563       137 8168316  0   1 1 
564       137 8168316  0   1 1 
565       137 8168316  0   1 1 
566       137 8168316  0   1 1 
567       137 8168316  0   1 1 
568       137 8168316  0   1 1 
569       137 8168316  0   1 1 
570       137 8168316  0   1 1 
571       137 8168316  0   1 1 
572       137 8168316  0   1 1 
573       137 8168316  0   1 1 
574       137 8168316  0   1 1 
575       137 8168316  0   1 1 
576       137 8168316  0   1 1 
577       137 8168316  0   1 1 
578       137 8168316  0   1 1 
579       137 8168316  0   1 1 
580       137 8168316  0   1 1 
581       137 8168316  0   1 1 
582       137 8168316  0   1 1 
583       137 8168316  0   1 1 
584       137 8168316  0   1 1 
585       137 8168316  0   1 1 
586       137 8168316  0   1 1 
587       137 8168316  0   1 1 
588       137 8168316  0   1 1 
589       137 8168316  0   1 1 
590       137 8168316  0   1 1 
591       137 8168316  0   1 1 
592       137 8168316  0   1 1 
593       137 8168316  0   1 1 
594       137 8168316  0   1 1 
595       137 8168316  0   1 1 
596       137 8168316  0   1 1 
597       137 8168316  0   1 1 
598       137 8168316  0   1 1 
599       137 8168316  0   1 1 
600       137 8168316  0   1 1 
601       137 8168316  0   1 1 
602       137 8168316  0   1 1 
603       137 8168316  0   1 1 
604       137 8168316  0   1 1 
605       137 8168316  0   1 1 
606       137 8168316  0   1 1 
607       137 8168316  0   1 1 
608       137 8168316  0   1 1 
609       137 8168316  0   1 1 
610       137 8168316  0   1 1 
611       137 8168316  0   1 1 
612       137 8168316  0   1 1 
613       137 8168316  0   1 1 
614       137 8168316  0   1 1 
615       137 8168316  0   1 1 
616       137 8168316  0   1 1 
617       137 8168316  0   1 1 
618       137 8168316  0   1 1 
619       137 8168316  0   1 1 
620       137 8168316  0   1 1 
621       137 8168316  0   1 1 
622       137 8168316  0   1 1 
623       137 8168316  0   1 1 
624       137 8168316  0   1 1 
625       137 8168316  0   1 1 
626       137 8168316  0   1 1 
627       137 8168316  0   1 1 
628       137 8168316  0   1 1 
629       137 8168316  0   1 1 
630       137 8168316  0   1 1 
631       137 8168316  0   1 1 
632       137 8168316  0   1 1 
633       137 8168316  0   1 1 
634       137 8168316  0   1 1 
635       137 8168316  0   1 1 
636       137 8168316  0   1 1 
637       137 8168316  0   1 1 
638       137 8168316  0   1 1 
639       137 8168316  0   1 1 
640       137 8168316  0   1 1 
641       137 8168316  0   1 1 
642       137 8168316  0   1 1 
643       137 8168316  0   1 1 
644       137 8168316  0   1 1 
645       137 8168316  0   1 1 
646       137 8168316  0   1 1 
647       137 8168316  0   1 1 
648       137 8168316  0   1 1 
649       137 8168316  0   1 1 
650       137 8168316  0   1 1 
651       137 8168316  0   1 1 
652       137 8168316  0   1 1 
653       137 8168316  0   1 1 
654       137 8168316  0   1 1 
655       137 8168316  0   1 1 
656       137 8168316  0   1 1 
657       137 8168316  0   1 1 
658       137 8168316  0   1 1 
659       137 8168316  0   1 1 
660       137 8168316  0   1 1 
661       137 8168316  0   1 1 
662       137 8168316  0   1 1 
663       137 8168316  0   1 1 
664       137 8168316  0   1 1 
665       137 8168316  0   1 1 
666       137 8168316  0   1 1 
667       137 8168316  0   1 1 
668       137 8168316  0   1 1 
669       137 8168316  0   1 1 
670       137 8168316  0   1 1 
671       137 8168316  0   1 1 
672       137 8168316  0   1 1 
673       137 8168316  0   1 1 
674       137 8168316  0   1 1 
675       137 8168316  0   1 1 
676       137 8168316  0   1 1 
677       137 8168316  0   1 1 
678       137 8168316  0   1 1 
679       137 8168316  0   1 1 
680       137 8168316  0   1 1 
681       137 8168316  0   1 1 
682       137 8168316  0   1 1 
683       137 8168316  0   1 1 
684       137 8168316  0   1 1 
685       137 8168316  0   1 1 
686       137 8168316  0   1 1 
687       137 8168316  0   1 1 
688       137 8168316  0   1 1 
689       137 8168316  0   1 1 
690       137 8168316  0   1 1 
691       137 8168316  0   1 1 
692       137 8168316  0   1 1 
693       137 8168316  0   1 1 
694       137 8168316  0   1 1 
695       137 8168316  0   1 1 
696       137 8168316  0   1 1 
697       137 8168316  0   1 1 
698       137 8168316  0   1 1 
699       137 8168316  0   1 1 
700       137 8168316  0   1 1 
701       137 8168316  0   1 1 
702       137 8168316  0   1 1 
703       137 8168316  0   1 1 
704       137 8168316  0   1 1 
705       137 8168316  0   1 1 
706       137 8168316  0   1 1 
707       137 8168316  0   1 1 
708       137 8168316  0   1 1 
709       137 8168316  0   1 1 
710       137 8168316  0   1 1 
711       137 8168316  0   1 1 
712       137 8168316  0   1 1 
713       137 8168316  0   1 1 
714       137 8168316  0   1 1 
715       137 8168316  0   1 1 
716       137 8168316  0   1 1 
717       137 8168316  0   1 1 
718       137 8168316  0   1 1 
719       137 8168316  0   1 1 
720       137 8168316  0   1 1 
721       137 8168316  0   1 1 
722       137 8168316  0   1 1 
723       137 8168316  0   1 1 
724       137 8168316  0   1 1 
725       137 8168316  0   1 1 
726       137 8168316  0   1 1 
727       137 8168316  0   1 1 
728       137 8168316  0   1 1 
729       137 8168316  0   1 1 
730       137 8168316  0   1 1 
731       137 8168316  0   1 1 
732       137 8168316  0   1 1 
733       137 8168316  0   1 1 
734       137 8168316  0   1 1 
735       137 8168316  0   1 1 
736       137 8168316  0   1 1 
737       137 8168316  0   1 1 
738       137 8168316  0   1 1 
739       137 8168316  0   1 1 
740       137 8168316  0   1 1 
741       137 8168316  0   1 1 
742       137 8168316  0   1 1 
743       137 8168316  0   1 1 
744       137 8168316  0   1 1 
745       137 8168316  0   1 1 
746       137 8168316  0   1 1 
747       137 8168316  0   1 1 
748       137 8168316  0   1 1 
749       137 8168316  0   1 1 
750       137 8168316  0   1 1 
751       137 8168316  0   1 1 
752       137 8168316  0   1 1 
753       137 8168316  0   1 1 
754       137 8168316  0   1 1 
755       137 8168316  0   1 1 
756       137 8168316  0   1 1 
757       137 8168316  0   1 1 
758       137 8168316  0   1 1 
759       137 8168316  0   1 1 
760       137 8168316  0   1 1 
761       137 8168316  0   1 1 
762       137 8168316  0   1 1 
763       137 8168316  0   1 1 
764       137 8168316  0   1 1 
765       137 8168316  0   1 1 
766       137 8168316  0   1 1 
767       137 8168316  0   1 1 
768       137 8168316  0   1 1 
769       137 8168316  0   1 1 
770       137 8168316  0   1 1 
771       137 8168316  0   1 1 
772       137 8168316  0   1 1 
773       137 8168316  0   1 1 
774       137 8168316  0   1 1 
775       137 8168316  0   1 1 
776       137 8168316  0   1 1 
777       137 8168316  0   1 1 
