Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = test_out

Data Table:

Signals-> 0   1           2 

sample

-128      0   0           0 
-127      0   0           0 
-126      0   0           0 
-125      0   0           0 
-124      0   0           0 
-123      0   0           0 
-122      0   0           0 
-121      0   0           0 
-120      0   0           0 
-119      0   0           0 
-118      0   0           0 
-117      0   0           0 
-116      0   0           0 
-115      0   0           0 
-114      0   0           0 
-113      0   0           0 
-112      0   0           0 
-111      0   0           0 
-110      0   0           0 
-109      0   0           0 
-108      0   0           0 
-107      0   0           0 
-106      0   0           0 
-105      0   0           0 
-104      0   0           0 
-103      0   0           0 
-102      0   0           0 
-101      0   0           0 
-100      0   0           0 
-99       0   0           0 
-98       0   0           0 
-97       0   0           0 
-96       0   0           0 
-95       0   0           0 
-94       0   0           0 
-93       0   0           0 
-92       0   0           0 
-91       0   0           0 
-90       0   0           0 
-89       0   0           0 
-88       0   0           0 
-87       0   0           0 
-86       0   0           0 
-85       0   0           0 
-84       0   0           0 
-83       0   0           0 
-82       0   0           0 
-81       0   0           0 
-80       0   0           0 
-79       0   0           0 
-78       0   0           0 
-77       0   0           0 
-76       0   0           0 
-75       0   0           0 
-74       0   0           0 
-73       0   0           0 
-72       0   0           0 
-71       0   0           0 
-70       0   0           0 
-69       0   0           0 
-68       0   0           0 
-67       0   0           0 
-66       0   0           0 
-65       0   0           0 
-64       0   0           0 
-63       0   0           0 
-62       0   0           0 
-61       0   0           0 
-60       0   0           0 
-59       0   0           0 
-58       0   0           0 
-57       0   0           0 
-56       0   0           0 
-55       0   0           0 
-54       0   0           0 
-53       0   0           0 
-52       0   0           0 
-51       0   0           0 
-50       0   0           0 
-49       0   0           0 
-48       0   0           0 
-47       0   0           0 
-46       0   0           0 
-45       0   0           0 
-44       0   0           0 
-43       0   0           0 
-42       0   0           0 
-41       0   0           0 
-40       0   0           0 
-39       0   0           0 
-38       0   0           0 
-37       0   0           0 
-36       0   0           0 
-35       0   0           0 
-34       0   0           0 
-33       0   0           0 
-32       0   0           0 
-31       0   0           0 
-30       0   0           0 
-29       0   0           0 
-28       0   0           0 
-27       0   0           0 
-26       0   0           0 
-25       0   0           0 
-24       0   0           0 
-23       0   0           0 
-22       0   0           0 
-21       0   0           0 
-20       0   0           0 
-19       0   0           0 
-18       0   0           0 
-17       0   0           0 
-16       0   0           0 
-15       0   0           0 
-14       0   0           0 
-13       0   0           0 
-12       0   0           0 
-11       0   0           0 
-10       0   0           0 
-9        0   0           0 
-8        0   0           0 
-7        0   0           0 
-6        0   0           0 
-5        0   0           0 
-4        0   0           0 
-3        0   0           0 
-2        0   0           0 
-1        0   0           0 
0         93  -1984620162 1 
1         199 -1971021401 1 
2         91  -1533454768 1 
3         92  -1494340428 1 
4         198 -1126653290 1 
5         196 -1011890065 1 
6         89  -881071742  1 
7         204 -762920961  1 
8         95  -721606033  1 
9         206 -692314799  1 
10        200 -680347082  1 
11        203 -678429753  1 
12        197 -670265745  1 
13        205 -636965649  1 
14        94  -580220145  1 
15        207 -545639257  1 
16        90  -160895921  1 
17        231 7970134     1 
18        214 47054294    1 
19        221 123783174   1 
20        88  133803852   1 
21        95  133808076   1 
22        233 134066124   1 
23        28  133820236   1 
24        57  133824332   1 
25        25  133824332   1 
26        141 134065996   1 
27        200 134066124   1 
28        74  134070092   1 
29        109 132817507   1 
30        93  197129742   1 
31        41  196718351   1 
32        85  196718383   1 
33        83  196718383   1 
34        29  200931308   1 
35        13  184153517   1 
36        7   182044141   1 
37        245 226295630   1 
38        6   237954861   1 
39        254 242169458   1 
40        215 417377767   1 
41        230 283164135   1 
42        182 299940322   1 
43        149 283225570   1 
44        84  283164134   1 
45        183 283680230   1 
46        227 292329611   1 
47        70  300790115   1 
48        119 300786018   1 
49        110 346740067   1 
50        67  346812771   1 
51        168 346706023   1 
52        72  346801255   1 
53        12  363581543   1 
54        63  363053155   1 
55        24  334270204   1 
56        9   317496060   1 
57        11  316968696   1 
58        233 363884644   1 
59        253 422700682   1 
60        218 435481036   1 
61        29  468495101   1 
62        190 437079645   1 
63        10  475574895   1 
64        122 475538286   1 
65        50  475641706   1 
66        40  491828079   1 
67        152 492405354   1 
68        127 475050863   1 
69        173 496560884   1 
70        153 499574503   1 
71        171 513986051   1 
72        165 534619789   1 
73        172 536587079   1 
74        222 537702072   1 
75        229 546025418   1 
76        72  955972206   1 
77        125 553385582   1 
78        185 555508621   1 
79        202 559675156   1 
80        73  1004308009  1 
81        105 1004312364  1 
82        118 584950568   1 
83        121 584628165   1 
84        155 587193731   1 
85        220 593755368   1 
86        184 594521500   1 
87        225 594526105   1 
88        203 594451101   1 
89        141 594512797   1 
90        236 600427405   1 
91        216 606706536   1 
92        133 606775840   1 
93        143 631168808   1 
94        195 638245962   1 
95        135 681570804   1 
96        142 561569397   1 
97        131 560529109   1 
98        143 577306365   1 
99        216 577294045   1 
100       215 577306365   1 
101       148 593002109   1 
102       230 601415285   1 
103       186 603520599   1 
104       180 620535539   1 
105       180 628924155   1 
106       180 627875571   1 
107       180 628399867   1 
108       188 637312755   1 
109       188 637312755   1 
110       188 660905715   1 
111       188 758421235   1 
112       188 804042995   1 
113       239 804954853   1 
114       188 811351795   1 
115       188 811384563   1 
116       188 828161779   1 
117       188 827637491   1 
118       188 827658491   1 
119       188 843890419   1 
120       188 844938995   1 
121       188 846479091   1 
122       188 871644923   1 
123       188 874462459   1 
124       188 877960955   1 
125       247 909513727   1 
126       217 937801589   1 
127       243 939758305   1 
128       180 1052055291  1 
129       188 941463283   1 
130       188 958248691   1 
131       213 972256746   1 
132       188 973969139   1 
133       188 949327603   1 
134       248 956272687   1 
135       252 997200444   1 
136       188 1025357555  1 
137       188 1024300785  1 
138       188 1026397947  1 
139       159 1032685299  1 
140       255 1124808903  1 
141       232 2132645418  1 
142       232 2144115238  1 
143       232 1237161510  1 
144       232 1267013166  1 
145       232 1269667366  1 
146       232 1253905958  1 
147       232 1276483118  1 
148       232 2049807918  1 
149       232 1580045870  1 
150       232 1580045870  1 
151       232 1311610414  1 
152       232 1311577646  1 
153       232 1219335726  1 
154       210 1222292383  1 
155       223 1233875230  1 
156       232 1242371630  1 
157       181 1253944378  1 
158       232 1259198535  1 
159       232 1285363246  1 
160       232 1278055982  1 
161       232 1277007406  1 
162       249 1288150408  1 
163       232 1311610414  1 
164       232 1311618606  1 
165       232 1311618606  1 
166       232 1312142886  1 
167       232 1311618606  1 
168       236 1312459812  1 
169       246 1337597605  1 
170       232 1388580910  1 
171       232 1413787694  1 
172       232 1455730734  1 
173       232 1455722542  1 
174       232 1456246830  1 
175       232 1347727398  1 
176       209 1352219454  1 
177       232 1354700334  1 
178       232 1356107822  1 
179       174 1388164287  1 
180       232 1408544814  1 
181       228 1413240620  1 
182       232 1433186350  1 
183       166 1447999166  1 
184       232 1455722542  1 
185       232 1456255022  1 
186       232 1456255022  1 
187       232 1457303598  1 
188       235 1488500845  1 
189       244 1495351745  1 
190       240 1552638434  1 
191       211 1558367532  1 
192       186 1592039090  1 
193       184 1593826475  1 
194       232 1618778158  1 
195       232 1634504748  1 
196       150 1667727407  1 
197       232 1659146286  1 
198       232 1657057324  1 
199       148 1690161775  1 
200       248 2062390318  1 
201       232 2062390316  1 
202       232 2062390318  1 
203       248 2062398510  1 
204       232 2062390316  1 
205       232 2062390318  1 
206       232 1795011630  1 
207       232 1862112300  1 
208       232 1786614830  1 
209       232 1810740270  1 
210       232 1810740268  1 
211       232 1793963054  1 
212       232 1810732078  1 
213       232 1835897900  1 
214       232 1877849134  1 
215       232 1945090606  1 
216       255 1953488108  1 
217       130 1991098155  1 
218       232 2021504038  1 
219       232 2045613092  1 
220       248 2079167534  1 
221       232 2062398510  1 
222       232 2062398508  1 
223       232 2021504046  1 
224       153 2041304255  1 
225       254 2066455653  1 
226       232 2080292398  1 
227       232 2062466606  1 
228       232 2062466604  1 
229       248 2054009892  1 
230       142 2095693751  1 
231       22  1668125740  1 
232       193 1719196917  1 
233       161 1765799412  1 
234       176 1789443364  1 
235       154 1853603625  1 
236       186 1865989309  1 
237       188 1881773282  1 
238       187 1907996586  1 
239       186 1962606376  1 
240       191 1965684265  1 
241       189 1995308271  1 
242       157 2021390009  1 
243       178 2083429732  1 
244       191 1567596283  1 
245       179 1568341097  1 
246       158 1575681467  1 
247       238 1618303475  1 
248       250 1634040127  1 
249       251 1656478943  1 
250       243 1675280768  1 
251       239 1765175202  1 
252       250 1794192694  1 
253       242 1799747186  1 
254       243 1945265270  1 
255       219 2007867182  1 
256       219 2007867182  1 
257       219 2007867182  1 
258       219 2007867182  1 
259       219 2007867182  1 
260       219 2007867182  1 
261       219 2007867182  1 
262       219 2007867182  1 
263       219 2007867182  1 
264       219 2007867182  1 
265       219 2007867182  1 
266       219 2007867182  1 
267       219 2007867182  1 
268       219 2007867182  1 
269       219 2007867182  1 
270       219 2007867182  1 
271       219 2007867182  1 
272       219 2007867182  1 
273       219 2007867182  1 
274       219 2007867182  1 
275       219 2007867182  1 
276       219 2007867182  1 
277       219 2007867182  1 
278       219 2007867182  1 
279       219 2007867182  1 
280       219 2007867182  1 
281       219 2007867182  1 
282       219 2007867182  1 
283       219 2007867182  1 
284       219 2007867182  1 
285       219 2007867182  1 
286       219 2007867182  1 
287       219 2007867182  1 
288       219 2007867182  1 
289       219 2007867182  1 
290       219 2007867182  1 
291       219 2007867182  1 
292       219 2007867182  1 
293       219 2007867182  1 
