Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0   1        2   3 4 

sample

66        211 -4231842 67  1 0 
67        46  -4225023 68  1 0 
68        173 -4158328 69  1 0 
69        63  -4108686 70  1 0 
70        238 -4101096 71  1 0 
71        174 -4040871 72  1 0 
72        250 -4037094 73  1 0 
73        169 -3931279 74  1 0 
74        237 -3819086 75  1 0 
75        217 -3818989 76  1 0 
76        217 -3668761 77  1 0 
77        107 -3647293 78  1 0 
78        108 -3522032 79  1 0 
79        151 -3461648 80  1 0 
80        119 -3448315 81  1 0 
81        57  -3356099 82  1 0 
82        83  -3327848 83  1 0 
83        163 -3313363 84  1 0 
84        212 -3280115 85  1 0 
85        39  -3238863 86  1 0 
86        76  -3183688 87  1 0 
87        153 -3103063 88  1 0 
88        133 -3042603 89  1 0 
89        228 -2889519 90  1 0 
90        59  -2838147 91  1 0 
91        125 -2832737 92  1 0 
92        182 -2657847 93  1 0 
93        176 -2601747 94  1 0 
94        191 -2480133 95  1 0 
95        94  -2472170 96  1 0 
96        82  -2456781 97  1 0 
97        17  -2345450 98  1 0 
98        134 -2216152 99  1 0 
99        73  -2198242 100 1 0 
100       52  -2187478 101 1 0 
101       135 -2134292 102 1 0 
102       147 -2127513 103 1 0 
103       195 -2056450 104 1 0 
104       252 -1987764 105 1 0 
105       233 -1986922 106 1 0 
106       45  -1922597 107 1 0 
107       183 -1920567 108 1 0 
108       184 -1861587 109 1 0 
109       0   -1565696 110 1 0 
110       54  -1545141 111 1 0 
111       116 -1522719 112 1 0 
112       69  -1491218 113 1 0 
113       8   -1486554 114 1 0 
114       109 -1441921 115 1 0 
115       49  -1417808 116 1 0 
116       143 -1399498 117 1 0 
117       219 -1330075 118 1 0 
118       126 -1144395 119 1 0 
119       96  -1122912 120 1 0 
120       71  -1030519 121 1 0 
121       85  -992966  122 1 0 
122       2   -970223  123 1 0 
123       200 -944135  124 1 0 
124       185 -922124  125 1 0 
125       110 -896156  126 1 0 
126       75  -627616  127 1 0 
127       50  -754348  128 1 0 
128       170 -649423  129 1 0 
129       255 -576183  130 1 0 
130       164 -563707  131 1 0 
131       43  -508049  132 1 0 
132       166 -401027  133 1 0 
133       175 -353174  134 1 0 
134       193 -345829  135 1 0 
135       95  -309462  136 1 0 
136       220 -270096  137 1 0 
137       245 -192627  138 1 0 
138       103 -139124  139 1 0 
139       28  -131874  140 1 0 
140       157 -28456   141 1 0 
141       106 -772     142 1 0 
142       231 150791   143 1 0 
143       247 240681   144 1 0 
144       207 968663   145 1 0 
145       207 846330   146 1 0 
146       207 916531   147 1 0 
147       207 979861   148 1 0 
148       207 950430   149 1 0 
149       207 1041852  150 1 0 
150       207 1041822  151 1 0 
151       207 1040670  152 1 0 
152       207 1040700  153 1 0 
153       206 1139874  154 1 0 
154       207 1158150  155 1 0 
155       207 1209867  156 1 0 
156       207 1305698  157 1 0 
157       146 1311420  158 1 0 
158       177 1424332  159 1 0 
159       216 1519064  160 1 0 
160       180 1529924  161 1 0 
161       74  1557818  162 1 0 
162       74  1559966  163 1 0 
163       74  1557206  164 1 0 
164       74  1559831  165 1 0 
165       74  1558617  166 1 0 
166       13  1653954  167 1 0 
167       30  1785042  168 1 0 
168       30  1810968  169 1 0 
169       138 1989329  170 1 0 
170       251 2008931  171 1 0 
171       234 2011855  172 1 0 
172       161 2054039  173 1 0 
173       30  2056842  174 1 0 
174       242 2182546  175 1 0 
175       214 2316941  176 1 0 
176       230 2328815  177 1 0 
177       149 2354199  178 1 0 
178       241 2358401  179 1 0 
179       30  2605037  180 1 0 
180       30  2616728  181 1 0 
181       30  2561340  182 1 0 
182       208 2573563  183 1 0 
183       139 2617499  184 1 0 
184       232 2671668  185 1 0 
185       92  2794814  186 1 0 
186       100 2884288  187 1 0 
187       224 2899799  188 1 0 
188       102 2953925  189 1 0 
189       248 3030248  190 1 0 
190       87  3041789  191 1 0 
191       33  3139400  192 1 0 
192       205 3187870  193 1 0 
193       243 3195882  194 1 0 
194       90  3415449  195 1 0 
195       51  3489961  196 1 0 
196       213 3544275  197 1 0 
197       65  3712081  198 1 0 
198       79  3740481  199 1 0 
199       13  3751138  200 1 0 
200       13  3749082  201 1 0 
201       13  3749082  202 1 0 
202       13  3745865  203 1 0 
203       13  3745881  204 1 0 
204       13  3749977  205 1 0 
205       13  3747016  206 1 0 
206       38  3751788  207 1 0 
207       32  3756175  208 1 0 
208       40  3792799  209 1 0 
209       206 4024172  210 1 0 
210       58  4228211  211 1 0 
211       136 4241745  212 1 0 
212       47  4259285  213 1 0 
213       201 4290627  214 1 0 
214       204 4448362  215 1 0 
215       148 4465743  216 1 0 
216       189 4723128  217 1 0 
217       225 4725063  218 1 0 
218       130 4898304  219 1 0 
219       154 4944884  220 1 0 
220       223 5235374  221 1 0 
221       88  5326291  222 1 0 
222       197 5360831  223 1 0 
223       202 5501003  224 1 0 
224       123 5567995  225 1 0 
225       137 5791857  226 1 0 
226       12  5885870  227 1 0 
227       12  5885838  228 1 0 
228       12  5885838  229 1 0 
229       158 6082899  230 1 0 
230       53  6132973  231 1 0 
231       215 6154530  232 1 0 
232       121 6290084  233 1 0 
233       48  6310481  234 1 0 
234       188 6329010  235 1 0 
235       115 6329157  236 1 0 
236       231 6516059  237 1 0 
237       20  6675436  238 1 0 
238       81  6803580  239 1 0 
239       66  6916851  240 1 0 
240       117 6951960  241 1 0 
241       104 6976209  242 1 0 
242       64  7200005  243 1 0 
243       222 7214770  244 1 0 
244       127 7224094  245 1 0 
245       36  7238592  246 1 0 
246       198 7370735  247 1 0 
247       41  7386972  248 1 0 
248       246 7434108  249 1 0 
249       111 7457785  250 1 0 
250       105 7520550  251 1 0 
251       236 7670831  252 1 0 
252       44  7674869  253 1 0 
253       190 8140431  254 1 0 
254       203 8141657  255 1 0 
255       139 8184696  0   1 0 
256       139 8184696  0   1 1 
257       139 8184696  0   1 1 
258       139 8184696  0   1 1 
259       139 8184696  0   1 1 
260       139 8184696  0   1 1 
261       139 8184696  0   1 1 
262       139 8184696  0   1 1 
263       139 8184696  0   1 1 
264       139 8184696  0   1 1 
265       139 8184696  0   1 1 
266       139 8184696  0   1 1 
267       139 8184696  0   1 1 
268       139 8184696  0   1 1 
269       139 8184696  0   1 1 
270       139 8184696  0   1 1 
271       139 8184696  0   1 1 
272       139 8184696  0   1 1 
273       139 8184696  0   1 1 
274       139 8184696  0   1 1 
275       139 8184696  0   1 1 
276       139 8184696  0   1 1 
277       139 8184696  0   1 1 
278       139 8184696  0   1 1 
279       139 8184696  0   1 1 
280       139 8184696  0   1 1 
281       139 8184696  0   1 1 
282       139 8184696  0   1 1 
283       139 8184696  0   1 1 
284       139 8184696  0   1 1 
285       139 8184696  0   1 1 
286       139 8184696  0   1 1 
287       139 8184696  0   1 1 
288       139 8184696  0   1 1 
289       139 8184696  0   1 1 
290       139 8184696  0   1 1 
291       139 8184696  0   1 1 
292       139 8184696  0   1 1 
293       139 8184696  0   1 1 
294       139 8184696  0   1 1 
295       139 8184696  0   1 1 
296       139 8184696  0   1 1 
297       139 8184696  0   1 1 
298       139 8184696  0   1 1 
299       139 8184696  0   1 1 
300       139 8184696  0   1 1 
301       139 8184696  0   1 1 
302       139 8184696  0   1 1 
303       139 8184696  0   1 1 
304       139 8184696  0   1 1 
305       139 8184696  0   1 1 
306       139 8184696  0   1 1 
307       139 8184696  0   1 1 
308       139 8184696  0   1 1 
309       139 8184696  0   1 1 
310       139 8184696  0   1 1 
311       139 8184696  0   1 1 
312       139 8184696  0   1 1 
313       139 8184696  0   1 1 
314       139 8184696  0   1 1 
315       139 8184696  0   1 1 
316       139 8184696  0   1 1 
317       139 8184696  0   1 1 
318       139 8184696  0   1 1 
319       139 8184696  0   1 1 
320       139 8184696  0   1 1 
321       139 8184696  0   1 1 
322       139 8184696  0   1 1 
323       139 8184696  0   1 1 
324       139 8184696  0   1 1 
325       139 8184696  0   1 1 
326       139 8184696  0   1 1 
327       139 8184696  0   1 1 
328       139 8184696  0   1 1 
329       139 8184696  0   1 1 
330       139 8184696  0   1 1 
331       139 8184696  0   1 1 
332       139 8184696  0   1 1 
333       139 8184696  0   1 1 
334       139 8184696  0   1 1 
335       139 8184696  0   1 1 
336       139 8184696  0   1 1 
337       139 8184696  0   1 1 
338       139 8184696  0   1 1 
339       139 8184696  0   1 1 
340       139 8184696  0   1 1 
341       139 8184696  0   1 1 
342       139 8184696  0   1 1 
343       139 8184696  0   1 1 
344       139 8184696  0   1 1 
345       139 8184696  0   1 1 
346       139 8184696  0   1 1 
347       139 8184696  0   1 1 
348       139 8184696  0   1 1 
349       139 8184696  0   1 1 
350       139 8184696  0   1 1 
351       139 8184696  0   1 1 
352       139 8184696  0   1 1 
353       139 8184696  0   1 1 
354       139 8184696  0   1 1 
355       139 8184696  0   1 1 
356       139 8184696  0   1 1 
357       139 8184696  0   1 1 
358       139 8184696  0   1 1 
359       139 8184696  0   1 1 
360       139 8184696  0   1 1 
361       139 8184696  0   1 1 
362       139 8184696  0   1 1 
363       139 8184696  0   1 1 
364       139 8184696  0   1 1 
365       139 8184696  0   1 1 
366       139 8184696  0   1 1 
367       139 8184696  0   1 1 
368       139 8184696  0   1 1 
369       139 8184696  0   1 1 
370       139 8184696  0   1 1 
371       139 8184696  0   1 1 
372       139 8184696  0   1 1 
373       139 8184696  0   1 1 
374       139 8184696  0   1 1 
375       139 8184696  0   1 1 
376       139 8184696  0   1 1 
377       139 8184696  0   1 1 
378       139 8184696  0   1 1 
379       139 8184696  0   1 1 
380       139 8184696  0   1 1 
381       139 8184696  0   1 1 
382       139 8184696  0   1 1 
383       139 8184696  0   1 1 
384       139 8184696  0   1 1 
385       139 8184696  0   1 1 
386       139 8184696  0   1 1 
387       139 8184696  0   1 1 
388       139 8184696  0   1 1 
389       139 8184696  0   1 1 
390       139 8184696  0   1 1 
391       139 8184696  0   1 1 
392       139 8184696  0   1 1 
393       139 8184696  0   1 1 
394       139 8184696  0   1 1 
395       139 8184696  0   1 1 
396       139 8184696  0   1 1 
397       139 8184696  0   1 1 
398       139 8184696  0   1 1 
399       139 8184696  0   1 1 
400       139 8184696  0   1 1 
401       139 8184696  0   1 1 
402       139 8184696  0   1 1 
403       139 8184696  0   1 1 
404       139 8184696  0   1 1 
405       139 8184696  0   1 1 
406       139 8184696  0   1 1 
407       139 8184696  0   1 1 
408       139 8184696  0   1 1 
409       139 8184696  0   1 1 
410       139 8184696  0   1 1 
411       139 8184696  0   1 1 
412       139 8184696  0   1 1 
413       139 8184696  0   1 1 
414       139 8184696  0   1 1 
415       139 8184696  0   1 1 
416       139 8184696  0   1 1 
417       139 8184696  0   1 1 
418       139 8184696  0   1 1 
419       139 8184696  0   1 1 
420       139 8184696  0   1 1 
421       139 8184696  0   1 1 
422       139 8184696  0   1 1 
423       139 8184696  0   1 1 
424       139 8184696  0   1 1 
425       139 8184696  0   1 1 
426       139 8184696  0   1 1 
427       139 8184696  0   1 1 
428       139 8184696  0   1 1 
429       139 8184696  0   1 1 
430       139 8184696  0   1 1 
431       139 8184696  0   1 1 
432       139 8184696  0   1 1 
433       139 8184696  0   1 1 
434       139 8184696  0   1 1 
