Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = test_out

Data Table:

Signals-> 0   1        2 

sample

-128      0   0        0 
-127      0   0        0 
-126      0   0        0 
-125      0   0        0 
-124      0   0        0 
-123      0   0        0 
-122      0   0        0 
-121      0   0        0 
-120      0   0        0 
-119      0   0        0 
-118      0   0        0 
-117      0   0        0 
-116      0   0        0 
-115      0   0        0 
-114      0   0        0 
-113      0   0        0 
-112      0   0        0 
-111      0   0        0 
-110      0   0        0 
-109      0   0        0 
-108      0   0        0 
-107      0   0        0 
-106      0   0        0 
-105      0   0        0 
-104      0   0        0 
-103      0   0        0 
-102      0   0        0 
-101      0   0        0 
-100      0   0        0 
-99       0   0        0 
-98       0   0        0 
-97       0   0        0 
-96       0   0        0 
-95       0   0        0 
-94       0   0        0 
-93       0   0        0 
-92       0   0        0 
-91       0   0        0 
-90       0   0        0 
-89       0   0        0 
-88       0   0        0 
-87       0   0        0 
-86       0   0        0 
-85       0   0        0 
-84       0   0        0 
-83       0   0        0 
-82       0   0        0 
-81       0   0        0 
-80       0   0        0 
-79       0   0        0 
-78       0   0        0 
-77       0   0        0 
-76       0   0        0 
-75       0   0        0 
-74       0   0        0 
-73       0   0        0 
-72       0   0        0 
-71       0   0        0 
-70       0   0        0 
-69       0   0        0 
-68       0   0        0 
-67       0   0        0 
-66       0   0        0 
-65       0   0        0 
-64       0   0        0 
-63       0   0        0 
-62       0   0        0 
-61       0   0        0 
-60       0   0        0 
-59       0   0        0 
-58       0   0        0 
-57       0   0        0 
-56       0   0        0 
-55       0   0        0 
-54       0   0        0 
-53       0   0        0 
-52       0   0        0 
-51       0   0        0 
-50       0   0        0 
-49       0   0        0 
-48       0   0        0 
-47       0   0        0 
-46       0   0        0 
-45       0   0        0 
-44       0   0        0 
-43       0   0        0 
-42       0   0        0 
-41       0   0        0 
-40       0   0        0 
-39       0   0        0 
-38       0   0        0 
-37       0   0        0 
-36       0   0        0 
-35       0   0        0 
-34       0   0        0 
-33       0   0        0 
-32       0   0        0 
-31       0   0        0 
-30       0   0        0 
-29       0   0        0 
-28       0   0        0 
-27       0   0        0 
-26       0   0        0 
-25       0   0        0 
-24       0   0        0 
-23       0   0        0 
-22       0   0        0 
-21       0   0        0 
-20       0   0        0 
-19       0   0        0 
-18       0   0        0 
-17       0   0        0 
-16       0   0        0 
-15       0   0        0 
-14       0   0        0 
-13       0   0        0 
-12       0   0        0 
-11       0   0        0 
-10       0   0        0 
-9        0   0        0 
-8        0   0        0 
-7        0   0        0 
-6        0   0        0 
-5        0   0        0 
-4        0   0        0 
-3        0   0        0 
-2        0   0        0 
-1        0   0        0 
0         76  -8107203 1 
1         75  -7389051 1 
2         73  -7232683 1 
3         77  -6684976 1 
4         72  -6202083 1 
5         92  -6085658 1 
6         74  -5653949 1 
7         97  -5179267 1 
8         98  -4863667 1 
9         95  -4740969 1 
10        96  -4703245 1 
11        185 -4671961 1 
12        94  -4479101 1 
13        91  -4381850 1 
14        93  -4218377 1 
15        183 -4191612 1 
16        100 -3913456 1 
17        99  -3694268 1 
18        184 -3634621 1 
19        188 -3046063 1 
20        186 -2685364 1 
21        45  -2643349 1 
22        46  -2528980 1 
23        43  -1913514 1 
24        47  -1907695 1 
25        189 -1648236 1 
26        50  -1573420 1 
27        191 -1414203 1 
28        190 -1334030 1 
29        192 -1262331 1 
30        44  -1250958 1 
31        48  -1186640 1 
32        187 -935620  1 
33        49  -774765  1 
34        0   0        1 
35        1   0        1 
36        138 83774    1 
37        177 119807   1 
38        126 141287   1 
39        3   145301   1 
40        63  147800   1 
41        58  183151   1 
42        32  199532   1 
43        171 208610   1 
44        18  249930   1 
45        205 263529   1 
46        26  348377   1 
47        59  483671   1 
48        42  546762   1 
49        57  566387   1 
50        150 590471   1 
51        220 600474   1 
52        212 651471   1 
53        7   731858   1 
54        170 736620   1 
55        128 781334   1 
56        55  781596   1 
57        9   799787   1 
58        19  819146   1 
59        217 833974   1 
60        2   854583   1 
61        8   868439   1 
62        27  875019   1 
63        4   875282   1 
64        6   894902   1 
65        193 907944   1 
66        127 921759   1 
67        56  957170   1 
68        5   977727   1 
69        213 989162   1 
70        179 1018839  1 
71        37  1033756  1 
72        194 1048421  1 
73        224 1085231  1 
74        197 1104348  1 
75        195 1133296  1 
76        145 1153646  1 
77        165 1171280  1 
78        182 1245374  1 
79        53  1255358  1 
80        10  1271540  1 
81        199 1319885  1 
82        234 1325339  1 
83        157 1338854  1 
84        229 1356610  1 
85        154 1374415  1 
86        216 1375335  1 
87        196 1381432  1 
88        65  1393147  1 
89        149 1461592  1 
90        54  1476789  1 
91        62  1629975  1 
92        231 1630032  1 
93        13  1649678  1 
94        160 1677279  1 
95        221 1697818  1 
96        237 1701516  1 
97        173 1735226  1 
98        64  1750640  1 
99        12  1757626  1 
100       200 1772003  1 
101       198 1775775  1 
102       11  1795659  1 
103       51  1858187  1 
104       31  1893020  1 
105       52  2070755  1 
106       140 2117530  1 
107       207 2148018  1 
108       111 2157708  1 
109       113 2161807  1 
110       201 2175285  1 
111       112 2207892  1 
112       110 2236508  1 
113       109 2247529  1 
114       222 2262589  1 
115       14  2295315  1 
116       133 2349446  1 
117       61  2395730  1 
118       152 2399813  1 
119       123 2448434  1 
120       132 2564127  1 
121       181 2591323  1 
122       235 2692080  1 
123       16  2828184  1 
124       21  2924724  1 
125       115 2934237  1 
126       41  2941520  1 
127       148 2983549  1 
128       134 3039273  1 
129       30  3043686  1 
130       238 3060799  1 
131       175 3072031  1 
132       116 3080249  1 
133       158 3100120  1 
134       155 3110825  1 
135       114 3114512  1 
136       60  3134943  1 
137       232 3144608  1 
138       105 3147000  1 
139       118 3154249  1 
140       144 3154552  1 
141       203 3162619  1 
142       104 3221809  1 
143       135 3226914  1 
144       106 3238863  1 
145       228 3266859  1 
146       119 3287761  1 
147       121 3303218  1 
148       120 3306260  1 
149       117 3315281  1 
150       103 3331661  1 
151       39  3370789  1 
152       204 3441619  1 
153       141 3451609  1 
154       252 3489301  1 
155       202 3519377  1 
156       136 3585185  1 
157       215 3621923  1 
158       211 3654687  1 
159       35  3751206  1 
160       208 3753349  1 
161       25  3770682  1 
162       15  3775175  1 
163       164 3780641  1 
164       122 3814643  1 
165       124 3933560  1 
166       137 3976798  1 
167       108 4042037  1 
168       107 4044371  1 
169       101 4051618  1 
170       17  4063445  1 
171       102 4097956  1 
172       125 4146013  1 
173       67  4242402  1 
174       87  4273279  1 
175       168 4419421  1 
176       159 4446561  1 
177       178 4474793  1 
178       90  4581869  1 
179       88  4624982  1 
180       70  4692327  1 
181       151 4748695  1 
182       245 4768532  1 
183       89  4843309  1 
184       241 4877846  1 
185       249 4992357  1 
186       223 5001006  1 
187       169 5004466  1 
188       22  5072153  1 
189       28  5119257  1 
190       255 5162744  1 
191       131 5217329  1 
192       163 5227245  1 
193       147 5337151  1 
194       240 5337186  1 
195       253 5373300  1 
196       244 5393801  1 
197       71  5467624  1 
198       206 5484809  1 
199       227 5552216  1 
200       176 5561440  1 
201       214 5667542  1 
202       225 5700933  1 
203       172 5757899  1 
204       34  5761875  1 
205       20  5776496  1 
206       161 5826081  1 
207       174 5832351  1 
208       83  5850269  1 
209       85  5877402  1 
210       219 5916582  1 
211       66  6094209  1 
212       248 6102723  1 
213       84  6109853  1 
214       166 6126234  1 
215       86  6153120  1 
216       29  6239989  1 
217       226 6300472  1 
218       180 6303719  1 
219       78  6408135  1 
220       239 6567033  1 
221       79  6637408  1 
222       162 6644842  1 
223       33  6718037  1 
224       80  6719025  1 
225       230 6768134  1 
226       68  6869941  1 
227       69  6968504  1 
228       246 6968893  1 
229       167 7007486  1 
230       38  7032431  1 
231       254 7079260  1 
232       139 7110451  1 
233       247 7313419  1 
234       250 7315664  1 
235       24  7398122  1 
236       36  7418823  1 
237       209 7521499  1 
238       236 7529860  1 
239       153 7633027  1 
240       233 7675421  1 
241       146 7681244  1 
242       142 7704179  1 
243       23  7721853  1 
244       143 7737450  1 
245       210 7764605  1 
246       40  7862434  1 
247       81  7936713  1 
248       129 7961978  1 
249       242 7983246  1 
250       243 7986632  1 
251       218 8191456  1 
252       130 8246670  1 
253       156 8282955  1 
254       82  8329163  1 
255       251 8365142  1 
256       251 8365142  1 
257       251 8365142  1 
258       251 8365142  1 
259       251 8365142  1 
260       251 8365142  1 
261       251 8365142  1 
262       251 8365142  1 
263       251 8365142  1 
264       251 8365142  1 
265       251 8365142  1 
266       251 8365142  1 
267       251 8365142  1 
268       251 8365142  1 
269       251 8365142  1 
270       251 8365142  1 
271       251 8365142  1 
272       251 8365142  1 
273       251 8365142  1 
274       251 8365142  1 
275       251 8365142  1 
276       251 8365142  1 
277       251 8365142  1 
278       251 8365142  1 
279       251 8365142  1 
280       251 8365142  1 
281       251 8365142  1 
282       251 8365142  1 
283       251 8365142  1 
284       251 8365142  1 
285       251 8365142  1 
286       251 8365142  1 
287       251 8365142  1 
288       251 8365142  1 
289       251 8365142  1 
290       251 8365142  1 
291       251 8365142  1 
292       251 8365142  1 
293       251 8365142  1 
294       251 8365142  1 
295       251 8365142  1 
296       251 8365142  1 
297       251 8365142  1 
298       251 8365142  1 
299       251 8365142  1 
300       251 8365142  1 
301       251 8365142  1 
302       251 8365142  1 
303       251 8365142  1 
304       251 8365142  1 
305       251 8365142  1 
306       251 8365142  1 
307       251 8365142  1 
308       251 8365142  1 
309       251 8365142  1 
310       251 8365142  1 
