Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = test_out

Data Table:

Signals-> 0   1           2 

sample

-128      0   0           0 
-127      0   0           0 
-126      0   0           0 
-125      0   0           0 
-124      0   0           0 
-123      0   0           0 
-122      0   0           0 
-121      0   0           0 
-120      0   0           0 
-119      0   0           0 
-118      0   0           0 
-117      0   0           0 
-116      0   0           0 
-115      0   0           0 
-114      0   0           0 
-113      0   0           0 
-112      0   0           0 
-111      0   0           0 
-110      0   0           0 
-109      0   0           0 
-108      0   0           0 
-107      0   0           0 
-106      0   0           0 
-105      0   0           0 
-104      0   0           0 
-103      0   0           0 
-102      0   0           0 
-101      0   0           0 
-100      0   0           0 
-99       0   0           0 
-98       0   0           0 
-97       0   0           0 
-96       0   0           0 
-95       0   0           0 
-94       0   0           0 
-93       0   0           0 
-92       0   0           0 
-91       0   0           0 
-90       0   0           0 
-89       0   0           0 
-88       0   0           0 
-87       0   0           0 
-86       0   0           0 
-85       0   0           0 
-84       0   0           0 
-83       0   0           0 
-82       0   0           0 
-81       0   0           0 
-80       0   0           0 
-79       0   0           0 
-78       0   0           0 
-77       0   0           0 
-76       0   0           0 
-75       0   0           0 
-74       0   0           0 
-73       0   0           0 
-72       0   0           0 
-71       0   0           0 
-70       0   0           0 
-69       0   0           0 
-68       0   0           0 
-67       0   0           0 
-66       0   0           0 
-65       0   0           0 
-64       0   0           0 
-63       0   0           0 
-62       0   0           0 
-61       0   0           0 
-60       0   0           0 
-59       0   0           0 
-58       0   0           0 
-57       0   0           0 
-56       0   0           0 
-55       0   0           0 
-54       0   0           0 
-53       0   0           0 
-52       0   0           0 
-51       0   0           0 
-50       0   0           0 
-49       0   0           0 
-48       0   0           0 
-47       0   0           0 
-46       0   0           0 
-45       0   0           0 
-44       0   0           0 
-43       0   0           0 
-42       0   0           0 
-41       0   0           0 
-40       0   0           0 
-39       0   0           0 
-38       0   0           0 
-37       0   0           0 
-36       0   0           0 
-35       0   0           0 
-34       0   0           0 
-33       0   0           0 
-32       0   0           0 
-31       0   0           0 
-30       0   0           0 
-29       0   0           0 
-28       0   0           0 
-27       0   0           0 
-26       0   0           0 
-25       0   0           0 
-24       0   0           0 
-23       0   0           0 
-22       0   0           0 
-21       0   0           0 
-20       0   0           0 
-19       0   0           0 
-18       0   0           0 
-17       0   0           0 
-16       0   0           0 
-15       0   0           0 
-14       0   0           0 
-13       0   0           0 
-12       0   0           0 
-11       0   0           0 
-10       0   0           0 
-9        0   0           0 
-8        0   0           0 
-7        0   0           0 
-6        0   0           0 
-5        0   0           0 
-4        0   0           0 
-3        0   0           0 
-2        0   0           0 
-1        0   0           0 
0         93  -1984620162 1 
1         199 -1971021401 1 
2         91  -1533454768 1 
3         92  -1494340428 1 
4         198 -1124556138 1 
5         196 -1011890065 1 
6         89  -881071742  1 
7         204 -762920961  1 
8         95  -721606033  1 
9         206 -692314799  1 
10        200 -680347082  1 
11        203 -678429753  1 
12        197 -670266257  1 
13        205 -636965649  1 
14        94  -580220145  1 
15        207 -545639257  1 
16        90  -160895921  1 
17        231 7970134     1 
18        214 47054294    1 
19        221 123783174   1 
20        88  182158947   1 
21        95  182163171   1 
22        233 182421219   1 
23        28  182158947   1 
24        57  182163043   1 
25        25  182163043   1 
26        205 182421091   1 
27        200 182421219   1 
28        109 182158947   1 
29        74  182296396   1 
30        29  178247182   1 
31        19  177835791   1 
32        19  177835823   1 
33        19  177835823   1 
34        29  182048748   1 
35        13  182048173   1 
36        7   182044141   1 
37        245 226295630   1 
38        6   237954861   1 
39        254 242169458   1 
40        215 480437607   1 
41        230 346223975   1 
42        227 363516003   1 
43        182 363000162   1 
44        149 346801506   1 
45        183 346740070   1 
46        84  480441702   1 
47        70  363589987   1 
48        119 363585890   1 
49        110 346740067   1 
50        67  346812771   1 
51        168 346706023   1 
52        72  346801255   1 
53        12  363581543   1 
54        63  363053155   1 
55        24  319606364   1 
56        9   437049948   1 
57        11  302304856   1 
58        233 363884644   1 
59        253 422700682   1 
60        218 435481036   1 
61        29  453798493   1 
62        190 437079645   1 
63        10  483291879   1 
64        122 483288038   1 
65        50  483391458   1 
66        173 496560884   1 
67        32  499577831   1 
68        153 499574503   1 
69        171 513986055   1 
70        173 534611597   1 
71        164 536054087   1 
72        222 537702072   1 
73        229 546025418   1 
74        144 972810862   1 
75        127 955972463   1 
76        64  955939434   1 
77        125 553352814   1 
78        185 555508621   1 
79        202 559642388   1 
80        73  1004316201  1 
81        105 1004320556  1 
82        118 584941864   1 
83        121 584627653   1 
84        155 587194243   1 
85        220 594279656   1 
86        184 594522012   1 
87        225 594526105   1 
88        203 594451101   1 
89        141 594512797   1 
90        236 600427405   1 
91        216 606706536   1 
92        133 606743076   1 
93        143 631168808   1 
94        195 638245962   1 
95        143 711965081   1 
96        216 577294045   1 
97        215 577306237   1 
98        148 586743415   1 
99        186 603512439   1 
100       194 542699253   1 
101       135 551091957   1 
102       134 559472373   1 
103       159 559480533   1 
104       180 559468455   1 
105       180 627625895   1 
106       180 670617511   1 
107       180 628674479   1 
108       188 627625895   1 
109       188 628674479   1 
110       188 661180327   1 
111       188 758171559   1 
112       188 803793319   1 
113       239 804954853   1 
114       188 811134887   1 
115       188 827912103   1 
116       188 827912103   1 
117       188 811134887   1 
118       188 827408815   1 
119       188 843640743   1 
120       188 844689319   1 
121       188 863006631   1 
122       188 871395247   1 
123       188 874212783   1 
124       188 877711279   1 
125       247 909513727   1 
126       217 937793397   1 
127       243 939758305   1 
128       248 956272687   1 
129       180 1056066479  1 
130       188 962251687   1 
131       188 962259879   1 
132       213 972289514   1 
133       188 977988519   1 
134       252 997200444   1 
135       188 1054010279  1 
136       188 1012591525  1 
137       188 1011534757  1 
138       188 1028311981  1 
139       159 1019923109  1 
140       239 2120145469  1 
141       239 2144131639  1 
142       239 1239341619  1 
143       239 1271847481  1 
144       239 1590065723  1 
145       239 1590622779  1 
146       239 1590622777  1 
147       239 1322179131  1 
148       239 1338964539  1 
149       239 1338956345  1 
150       239 1338956347  1 
151       239 1322146363  1 
152       239 1523505721  1 
153       239 1565448763  1 
154       239 1607359035  1 
155       231 1607359033  1 
156       239 1607391803  1 
157       239 1566472755  1 
158       239 1607399993  1 
159       239 1607399995  1 
160       239 1608440379  1 
161       239 1768872497  1 
162       239 2062481979  1 
163       239 2062473787  1 
164       231 2062481977  1 
165       239 2062481979  1 
166       239 2079251003  1 
167       231 1859050041  1 
168       239 1860098619  1 
169       239 1860106811  1 
170       231 1786706489  1 
171       239 1810823739  1 
172       239 1794046523  1 
173       239 1794038329  1 
174       231 1810823739  1 
175       239 1833884219  1 
176       231 1877932601  1 
177       231 2038364731  1 
178       239 2045696571  1 
179       231 2079251001  1 
180       231 2079259195  1 
181       239 2079251003  1 
182       231 2080299577  1 
183       239 2079259195  1 
184       239 2144270907  1 
185       231 1135409209  1 
186       240 1119807202  1 
187       255 1124808903  1 
188       138 1142720046  1 
189       156 1219028216  1 
190       210 1221768125  1 
191       223 1235480854  1 
192       234 2126948991  1 
193       234 1244506239  1 
194       181 1253420090  1 
195       232 1259198567  1 
196       249 1288150408  1 
197       251 1303596604  1 
198       234 1294773375  1 
199       151 1298114859  1 
200       252 1312468012  1 
201       242 1316720125  1 
202       146 1328391803  1 
203       246 1337630373  1 
204       209 1354349374  1 
205       155 1354479231  1 
206       190 1388156095  1 
207       252 1413273388  1 
208       190 1450096316  1 
209       235 1488500845  1 
210       248 1493168124  1 
211       244 1495917025  1 
212       145 1526578174  1 
213       240 1554768354  1 
214       211 1558900012  1 
215       252 1563274411  1 
216       250 1588575869  1 
217       186 1592571570  1 
218       184 1610611873  1 
219       250 1618914431  1 
220       150 1668262959  1 
221       245 1672062508  1 
222       251 1676453371  1 
223       148 1706944111  1 
224       249 1945087608  1 
225       255 1953492198  1 
226       146 2000678697  1 
227       248 2021501996  1 
228       254 2049682543  1 
229       248 1898835240  1 
230       153 2041308349  1 
231       150 1667868207  1 
232       209 1719205109  1 
233       177 1765799412  1 
234       176 1789443364  1 
235       154 1853603625  1 
236       186 1865989309  1 
237       188 1881773282  1 
238       187 1907996586  1 
239       186 1962606376  1 
240       191 1965684265  1 
241       189 1995308271  1 
242       157 2021357241  1 
243       178 2083429732  1 
244       191 1563361279  1 
245       158 1563065855  1 
246       187 1568407351  1 
247       238 1618303475  1 
248       250 1634040127  1 
249       243 1675280768  1 
250       255 1765175202  1 
251       242 1799747154  1 
252       243 1945265270  1 
253       249 1284480808  1 
254       251 1656478975  1 
255       250 1794192694  1 
256       250 1794192694  1 
257       250 1794192694  1 
258       250 1794192694  1 
259       250 1794192694  1 
260       250 1794192694  1 
261       250 1794192694  1 
262       250 1794192694  1 
263       250 1794192694  1 
264       250 1794192694  1 
265       250 1794192694  1 
266       250 1794192694  1 
267       250 1794192694  1 
268       250 1794192694  1 
269       250 1794192694  1 
270       250 1794192694  1 
271       250 1794192694  1 
272       250 1794192694  1 
273       250 1794192694  1 
274       250 1794192694  1 
275       250 1794192694  1 
276       250 1794192694  1 
277       250 1794192694  1 
278       250 1794192694  1 
279       250 1794192694  1 
280       250 1794192694  1 
281       250 1794192694  1 
282       250 1794192694  1 
283       250 1794192694  1 
284       250 1794192694  1 
285       250 1794192694  1 
286       250 1794192694  1 
287       250 1794192694  1 
288       250 1794192694  1 
289       250 1794192694  1 
290       250 1794192694  1 
291       250 1794192694  1 
292       250 1794192694  1 
293       250 1794192694  1 
